original_author,year,opposition,other,ruling,polarity_yearly
Chellaney,2022.0,103,24,594,0.7044476327116213
Chellaney,2023.0,25,3,26,0.0196078431372549
ChhattisgarhCMO,2020.0,5432,179,27,-0.9901080784026378
ChhattisgarhCMO,2021.0,11261,1807,50,-0.9911590487136416
ChhattisgarhCMO,2022.0,13386,2601,25,-0.996271717247036
ChhattisgarhCMO,2023.0,3862,2354,6,-0.9968976215098242
ChiefSecyUP,2020.0,2,0,28,0.8666666666666667
ChiefSecyUP,2021.0,0,0,22,1.0
ChiefSecyUP,2022.0,22,27,205,0.8061674008810573
ChiefSecyUP,2023.0,15,5,40,0.45454545454545453
ChitnisPurva,2020.0,75,13,2,-0.948051948051948
ChitnisPurva,2021.0,195,28,3,-0.9696969696969697
ChitnisPurva,2022.0,69,12,2,-0.9436619718309859
ChitnisPurva,2023.0,9,0,0,-1.0
Cryptic_Miind,2020.0,193,1,2,-0.9794871794871794
Cryptic_Miind,2021.0,1102,196,19,-0.9661016949152542
Cryptic_Miind,2022.0,1078,83,32,-0.9423423423423424
Cryptic_Miind,2023.0,607,25,17,-0.9455128205128205
DCDeoghar,2020.0,232,16,7,-0.9414225941422594
DCDeoghar,2021.0,145,143,2,-0.9727891156462585
DCDeoghar,2022.0,207,428,3,-0.9714285714285714
DCDeoghar,2023.0,39,432,3,-0.8571428571428571
DC_Hazaribag,2020.0,76,0,7,-0.8313253012048193
DC_Hazaribag,2021.0,83,4,6,-0.8651685393258427
DC_Hazaribag,2022.0,118,1,1,-0.9831932773109243
DC_Hazaribag,2023.0,3,0,0,-1.0
DC_Ranchi,2020.0,279,8,37,-0.7658227848101266
DC_Ranchi,2021.0,185,12,8,-0.917098445595855
DC_Ranchi,2022.0,71,20,0,-1.0
DC_Ranchi,2023.0,2,0,0,-1.0
DChaurasia2312,2020.0,261,576,8589,0.9410169491525424
DChaurasia2312,2021.0,436,1143,17723,0.9519797345668815
DChaurasia2312,2022.0,87,333,4237,0.9597594819611471
DChaurasia2312,2023.0,14,31,581,0.9529411764705882
DDIndialive,2020.0,8,13,196,0.9215686274509803
DDIndialive,2021.0,5,13,340,0.9710144927536232
DDIndialive,2022.0,9,28,359,0.9510869565217391
DDIndialive,2023.0,6,18,225,0.948051948051948
DDNational,2020.0,107,39,1232,0.8401792382374906
DDNational,2021.0,36,25,796,0.9134615384615384
DDNational,2022.0,10,31,266,0.927536231884058
DDNational,2023.0,10,14,154,0.8780487804878049
DDNewsChennai,2020.0,0,8,29,1.0
DDNewsChennai,2021.0,5,13,273,0.9640287769784173
DDNewsChennai,2022.0,4,12,355,0.9777158774373259
DDNewsChennai,2023.0,2,6,54,0.9285714285714286
DDNewsGujarati,2020.0,51,32,1077,0.9095744680851063
DDNewsGujarati,2021.0,51,84,3664,0.9725437415881562
DDNewsGujarati,2022.0,11,209,2892,0.9924216327936617
DDNewsGujarati,2023.0,7,319,912,0.984766050054407
DDNewsHindi,2020.0,70,76,3436,0.9600684540787222
DDNewsHindi,2021.0,58,135,8565,0.9865476052417952
DDNewsHindi,2022.0,50,95,5919,0.9832467750041883
DDNewsHindi,2023.0,64,113,3059,0.9590137688120397
DDNewslive,2020.0,170,110,2834,0.8868175765645806
DDNewslive,2021.0,123,364,6464,0.9626537118566875
DDNewslive,2022.0,112,292,3242,0.9332140727489565
DDNewslive,2023.0,61,205,2190,0.9458018658374056
DDUttarPradesh,2020.0,1,0,11,0.8333333333333334
DDUttarPradesh,2021.0,8,1,51,0.7288135593220338
DDUttarPradesh,2022.0,6,11,221,0.947136563876652
DDUttarPradesh,2023.0,7,5,32,0.6410256410256411
DGPMaharashtra,2020.0,382,38,110,-0.5528455284552846
DGPMaharashtra,2021.0,139,16,14,-0.8169934640522876
DGPMaharashtra,2022.0,15,2,9,-0.25
DGPMaharashtra,2023.0,2,1,2,0.0
DG_PIB,2020.0,8,3,101,0.8532110091743119
DG_PIB,2021.0,0,2,110,1.0
DG_PIB,2022.0,2,13,201,0.9802955665024631
DG_PIB,2023.0,0,1,39,1.0
